"Regionskode";"Region";"Dato";"Indlæggelser";"timestamp_2025-10-21T10:00:08.562"
1081;Nordjylland;2021-11-17;4;
1085;Sjælland;2021-11-17;15;
1083;Syddanmark;2021-11-17;9;
1084;Hovedstaden;2021-11-18;24;
1082;Midtjylland;2021-11-18;5;
1081;Nordjylland;2021-11-18;4;
1085;Sjælland;2021-11-18;15;
1083;Syddanmark;2021-11-18;17;
1084;Hovedstaden;2021-11-19;16;
1082;Midtjylland;2021-11-19;7;
1081;Nordjylland;2021-11-19;7;
1085;Sjælland;2021-11-19;19;
1083;Syddanmark;2021-11-19;11;
1084;Hovedstaden;2021-11-20;30;
1082;Midtjylland;2021-11-20;10;
1081;Nordjylland;2021-11-20;3;
1085;Sjælland;2021-11-20;10;
1083;Syddanmark;2021-11-20;11;
1084;Hovedstaden;2021-11-21;27;
1082;Midtjylland;2021-11-21;3;
1081;Nordjylland;2021-11-21;10;
1085;Sjælland;2021-11-21;8;
1083;Syddanmark;2021-11-21;14;
1084;Hovedstaden;2021-11-22;35;
1082;Midtjylland;2021-11-22;8;
1081;Nordjylland;2021-11-22;6;
1085;Sjælland;2021-11-22;7;
1083;Syddanmark;2021-11-22;13;
1084;Hovedstaden;2021-11-23;31;
1082;Midtjylland;2021-11-23;4;
1085;Sjælland;2021-11-23;18;
1083;Syddanmark;2021-11-23;12;
1084;Hovedstaden;2021-11-24;27;
1082;Midtjylland;2021-11-24;6;
1081;Nordjylland;2021-11-24;4;
1085;Sjælland;2021-11-24;12;
1083;Syddanmark;2021-11-24;8;
1084;Hovedstaden;2021-11-25;28;
1082;Midtjylland;2021-11-25;11;
1081;Nordjylland;2021-11-25;6;
1085;Sjælland;2021-11-25;10;
1083;Syddanmark;2021-11-25;13;
1084;Hovedstaden;2021-11-26;32;
1082;Midtjylland;2021-11-26;8;
1081;Nordjylland;2021-11-26;3;
1085;Sjælland;2021-11-26;10;
1083;Syddanmark;2021-11-26;17;
1084;Hovedstaden;2021-11-27;24;
1082;Midtjylland;2021-11-27;6;
1081;Nordjylland;2021-11-27;5;
1085;Sjælland;2021-11-27;11;
1083;Syddanmark;2021-11-27;13;
1084;Hovedstaden;2021-11-28;21;
1082;Midtjylland;2021-11-28;9;
1081;Nordjylland;2021-11-28;4;
1085;Sjælland;2021-11-28;15;
1083;Syddanmark;2021-11-28;9;
1084;Hovedstaden;2021-11-29;25;
1082;Midtjylland;2021-11-29;6;
1081;Nordjylland;2021-11-29;5;
1085;Sjælland;2021-11-29;13;
1083;Syddanmark;2021-11-29;15;
1084;Hovedstaden;2021-11-30;30;
1082;Midtjylland;2021-11-30;13;
1081;Nordjylland;2021-11-30;8;
1085;Sjælland;2021-11-30;15;
1083;Syddanmark;2021-11-30;13;
1084;Hovedstaden;2021-12-01;32;
1082;Midtjylland;2021-12-01;5;
1081;Nordjylland;2021-12-01;15;
1085;Sjælland;2021-12-01;15;
1083;Syddanmark;2021-12-01;9;
1084;Hovedstaden;2021-12-02;28;
1082;Midtjylland;2021-12-02;9;
1081;Nordjylland;2021-12-02;5;
1085;Sjælland;2021-12-02;11;
1083;Syddanmark;2021-12-02;12;
1084;Hovedstaden;2021-12-03;30;
1082;Midtjylland;2021-12-03;14;
1081;Nordjylland;2021-12-03;10;
1085;Sjælland;2021-12-03;15;
1083;Syddanmark;2021-12-03;16;
1084;Hovedstaden;2021-12-04;25;
1082;Midtjylland;2021-12-04;10;
1081;Nordjylland;2021-12-04;11;
1085;Sjælland;2021-12-04;12;
1083;Syddanmark;2021-12-04;10;
1084;Hovedstaden;2021-12-05;27;
1082;Midtjylland;2021-12-05;9;
1081;Nordjylland;2021-12-05;7;
1085;Sjælland;2021-12-05;9;
1083;Syddanmark;2021-12-05;13;
1084;Hovedstaden;2021-12-06;38;
1082;Midtjylland;2021-12-06;14;
1081;Nordjylland;2021-12-06;12;
1085;Sjælland;2021-12-06;13;
1083;Syddanmark;2021-12-06;9;
1084;Hovedstaden;2021-12-07;29;
1082;Midtjylland;2021-12-07;9;
1081;Nordjylland;2021-12-07;5;
1085;Sjælland;2021-12-07;12;
1083;Syddanmark;2021-12-07;13;
1084;Hovedstaden;2021-12-08;37;
1082;Midtjylland;2021-12-08;7;
1081;Nordjylland;2021-12-08;3;
1085;Sjælland;2021-12-08;19;
1083;Syddanmark;2021-12-08;15;
1084;Hovedstaden;2021-12-09;30;
1082;Midtjylland;2021-12-09;11;
1081;Nordjylland;2021-12-09;2;
1085;Sjælland;2021-12-09;12;
1083;Syddanmark;2021-12-09;12;
1084;Hovedstaden;2021-12-10;36;
1082;Midtjylland;2021-12-10;10;
1081;Nordjylland;2021-12-10;6;
1085;Sjælland;2021-12-10;11;
1083;Syddanmark;2021-12-10;21;
1084;Hovedstaden;2021-12-11;20;
1082;Midtjylland;2021-12-11;4;
1081;Nordjylland;2021-12-11;4;
1085;Sjælland;2021-12-11;9;
1083;Syddanmark;2021-12-11;18;
1084;Hovedstaden;2021-12-12;34;
1082;Midtjylland;2021-12-12;6;
1081;Nordjylland;2021-12-12;2;
1085;Sjælland;2021-12-12;11;
1083;Syddanmark;2021-12-12;12;
1084;Hovedstaden;2021-12-13;45;
1082;Midtjylland;2021-12-13;17;
1081;Nordjylland;2021-12-13;6;
1085;Sjælland;2021-12-13;23;
1083;Syddanmark;2021-12-13;11;
1084;Hovedstaden;2021-12-14;42;
1082;Midtjylland;2021-12-14;10;
1081;Nordjylland;2021-12-14;1;
1085;Sjælland;2021-12-14;15;
1083;Syddanmark;2021-12-14;14;
1084;Hovedstaden;2021-12-15;50;
1082;Midtjylland;2021-12-15;6;
1081;Nordjylland;2021-12-15;9;
1085;Sjælland;2021-12-15;22;
1083;Syddanmark;2021-12-15;13;
1084;Hovedstaden;2021-12-16;43;
1082;Midtjylland;2021-12-16;14;
1081;Nordjylland;2021-12-16;9;
1085;Sjælland;2021-12-16;14;
1083;Syddanmark;2021-12-16;19;
1084;Hovedstaden;2021-12-17;33;
1082;Midtjylland;2021-12-17;14;
1081;Nordjylland;2021-12-17;12;
1085;Sjælland;2021-12-17;13;
1083;Syddanmark;2021-12-17;21;
1084;Hovedstaden;2021-12-18;37;
1082;Midtjylland;2021-12-18;9;
1081;Nordjylland;2021-12-18;5;
1085;Sjælland;2021-12-18;15;
1083;Syddanmark;2021-12-18;13;
1084;Hovedstaden;2021-12-19;28;
1082;Midtjylland;2021-12-19;12;
1081;Nordjylland;2021-12-19;4;
1085;Sjælland;2021-12-19;8;
1083;Syddanmark;2021-12-19;12;
1084;Hovedstaden;2021-12-20;42;
1082;Midtjylland;2021-12-20;16;
1081;Nordjylland;2021-12-20;5;
