"Uge";"Køn";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nye indlæggelser pr. 100.000 borgere";"timestamp_2025-10-21T10:00:08.562"
2024-U05;M;111;3;1,2;
2024-U06;K;114;2;1,0;
2024-U06;M;108;2;1,3;
2024-U07;K;96;2;0,9;
2024-U07;M;96;2;1,3;
2024-U08;K;95;2;0,9;
2024-U08;M;88;1;0,8;
2024-U09;K;95;1;0,6;
2024-U09;M;82;2;0,8;
2024-U10;K;82;1;0,3;
2024-U10;M;76;1;1,0;
2024-U11;K;82;1;0,5;
2024-U11;M;73;1;0,5;
2024-U12;K;76;1;0,5;
2024-U12;M;71;1;0,8;
2024-U13;K;59;1;0,6;
2024-U13;M;57;1;0,6;
2024-U14;K;64;1;0,3;
2024-U14;M;60;1;0,4;
2024-U15;K;60;1;0,3;
2024-U15;M;56;1;0,4;
2024-U16;K;54;1;0,5;
2024-U16;M;49;1;0,4;
2024-U17;K;50;1;0,3;
2024-U17;M;49;1;0,4;
2024-U18;K;50;1;0,4;
2024-U18;M;47;1;0,5;
2024-U19;K;41;1;0,2;
2024-U19;M;37;1;0,7;
2024-U20;K;39;1;0,4;
2024-U20;M;36;1;0,5;
2024-U21;K;33;1;0,3;
2024-U21;M;34;1;0,5;
2024-U22;K;34;1;0,1;
2024-U22;M;33;1;0,5;
2024-U23;K;31;1;0,7;
2024-U23;M;31;1;0,3;
2024-U24;K;33;2;0,9;
2024-U24;M;33;2;0,7;
2024-U25;K;35;3;1,2;
2024-U25;M;33;3;1,3;
2024-U26;K;38;5;1,3;
2024-U26;M;35;4;1,4;
2024-U27;K;45;6;1,4;
2024-U27;M;43;5;2,2;
2024-U28;K;50;9;2,6;
2024-U28;M;47;7;3,5;
2024-U29;K;52;9;3,7;
2024-U29;M;50;8;3,6;
2024-U30;K;53;7;2,2;
2024-U30;M;52;7;3,0;
2024-U31;K;45;5;2,2;
2024-U31;M;46;6;3,3;
2024-U32;K;46;5;1,9;
2024-U32;M;45;6;3,0;
2024-U33;K;49;7;2,3;
2024-U33;M;47;6;3,0;
2024-U34;K;52;8;2,7;
2024-U34;M;49;7;2,6;
2024-U35;K;56;9;2,6;
2024-U35;M;54;8;4,0;
2024-U36;K;58;8;3,1;
2024-U36;M;57;9;4,5;
2024-U37;K;59;6;2,7;
2024-U37;M;54;5;2,8;
2024-U38;K;58;6;2,7;
2024-U38;M;52;6;3,1;
2024-U39;K;57;6;2,4;
2024-U39;M;55;6;3,0;
2024-U40;K;58;7;3,3;
2024-U40;M;57;6;3,5;
2024-U41;K;68;8;3,8;
2024-U41;M;63;8;4,1;
2024-U42;K;58;6;2,7;
2024-U42;M;55;7;4,5;
2024-U43;K;67;7;3,0;
2024-U43;M;63;7;3,8;
2024-U44;K;66;6;2,3;
2024-U44;M;60;6;3,4;
2024-U45;K;67;5;1,8;
2024-U45;M;61;5;2,2;
2024-U46;K;68;4;1,5;
2024-U46;M;61;4;2,0;
2024-U47;K;69;4;1,4;
2024-U47;M;62;4;1,9;
2024-U48;K;67;4;1,6;
2024-U48;M;61;4;1,9;
2024-U49;K;72;5;1,8;
2024-U49;M;65;5;3,0;
2024-U50;K;69;5;2,1;
2024-U50;M;62;4;2,4;
2024-U51;K;81;6;2,3;
2024-U51;M;74;5;2,7;
2024-U52;K;60;4;1,9;
2024-U52;M;56;3;2,1;
2025-U01;K;78;4;1,9;
2025-U01;M;68;3;2,2;
2025-U02;K;88;3;1,4;
2025-U02;M;77;3;2,0;
2025-U03;K;73;2;0,9;
2025-U03;M;70;2;1,1;
2025-U04;K;87;3;1,0;
2025-U04;M;79;2;1,0;
2025-U05;K;101;3;1,2;
2025-U05;M;92;3;1,1;
2025-U06;K;112;2;0,7;
2025-U06;M;104;3;1,4;
2025-U07;K;113;2;0,9;
2025-U07;M;108;3;1,2;
2025-U08;K;129;2;0,8;
2025-U08;M;119;3;1,2;
2025-U09;K;137;3;1,0;
2025-U09;M;125;2;1,1;
2025-U10;K;126;2;0,9;
2025-U10;M;115;2;1,1;
