"Uge";"Regionskode";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere";"Første reinfektion";"To eller flere reinfektioner";"timestamp_2025-10-21T10:00:08.562"
2023-U25;1083;Syddanmark;5;0,40;5;0;
2023-U26;1084;Hovedstaden;14;0,74;11;3;
2023-U26;1082;Midtjylland;1;0,07;1;0;
2023-U26;1081;Nordjylland;3;0,51;3;0;
2023-U26;1085;Sjælland;5;0,59;5;0;
2023-U26;1083;Syddanmark;5;0,40;5;0;
2023-U27;1084;Hovedstaden;14;0,74;13;1;
2023-U27;1082;Midtjylland;5;0,37;5;0;
2023-U27;1081;Nordjylland;1;0,17;1;0;
2023-U27;1085;Sjælland;8;0,94;6;2;
2023-U27;1083;Syddanmark;8;0,65;8;0;
2023-U28;1084;Hovedstaden;14;0,74;12;2;
2023-U28;1082;Midtjylland;5;0,37;4;1;
2023-U28;1081;Nordjylland;3;0,51;2;1;
2023-U28;1085;Sjælland;3;0,35;3;0;
2023-U28;1083;Syddanmark;7;0,57;7;0;
2023-U29;1084;Hovedstaden;13;0,69;11;2;
2023-U29;1082;Midtjylland;2;0,15;2;0;
2023-U29;1081;Nordjylland;5;0,84;5;0;
2023-U29;1085;Sjælland;2;0,24;2;0;
2023-U29;1083;Syddanmark;2;0,16;2;0;
2023-U30;1084;Hovedstaden;21;1,11;19;2;
2023-U30;1082;Midtjylland;2;0,15;2;0;
2023-U30;1081;Nordjylland;7;1,18;6;1;
2023-U30;1085;Sjælland;6;0,71;4;2;
2023-U30;1083;Syddanmark;8;0,65;6;2;
2023-U31;1084;Hovedstaden;26;1,37;26;0;
2023-U31;1082;Midtjylland;3;0,22;3;0;
2023-U31;1081;Nordjylland;5;0,84;4;1;
2023-U31;1085;Sjælland;6;0,71;5;1;
2023-U31;1083;Syddanmark;6;0,49;6;0;
2023-U32;1084;Hovedstaden;34;1,80;32;2;
2023-U32;1082;Midtjylland;12;0,88;12;0;
2023-U32;1081;Nordjylland;6;1,01;6;0;
2023-U32;1085;Sjælland;10;1,18;7;3;
2023-U32;1083;Syddanmark;17;1,38;16;1;
2023-U33;1084;Hovedstaden;63;3,33;56;7;
2023-U33;1082;Midtjylland;17;1,25;16;1;
2023-U33;1081;Nordjylland;5;0,84;5;0;
2023-U33;1085;Sjælland;15;1,77;14;1;
2023-U33;1083;Syddanmark;22;1,78;21;1;
2023-U34;1084;Hovedstaden;70;3,70;61;9;
2023-U34;1082;Midtjylland;19;1,40;18;1;
2023-U34;1081;Nordjylland;11;1,85;9;2;
2023-U34;1085;Sjælland;26;3,06;23;3;
2023-U34;1083;Syddanmark;22;1,78;15;7;
2023-U35;1084;Hovedstaden;61;3,22;55;6;
2023-U35;1082;Midtjylland;23;1,69;22;1;
2023-U35;1081;Nordjylland;7;1,18;6;1;
2023-U35;1085;Sjælland;27;3,18;27;0;
2023-U35;1083;Syddanmark;26;2,10;25;1;
2023-U36;1084;Hovedstaden;69;3,64;61;8;
2023-U36;1082;Midtjylland;20;1,47;18;2;
2023-U36;1081;Nordjylland;10;1,69;10;0;
2023-U36;1085;Sjælland;22;2,59;22;0;
2023-U36;1083;Syddanmark;37;2,99;33;4;
2023-U37;1084;Hovedstaden;55;2,90;49;6;
2023-U37;1082;Midtjylland;11;0,81;10;1;
2023-U37;1081;Nordjylland;17;2,87;16;1;
2023-U37;1085;Sjælland;24;2,82;23;1;
2023-U37;1083;Syddanmark;30;2,43;29;1;
2023-U38;1084;Hovedstaden;50;2,64;46;4;
2023-U38;1082;Midtjylland;11;0,81;9;2;
2023-U38;1081;Nordjylland;22;3,71;19;3;
